id,name,team,lname
10808.0,Mohammed Siraj,Gujarat Titans ,Siraj
10551.0,Prasidh Krishna,Gujarat Titans ,Krishna
14254.0,Prabhsimran Singh (wk),Punjab Kings ,psingh
14689.0,Priyansh Arya,Punjab Kings ,Arya
9428.0,Shreyas Iyer (c),Punjab Kings ,siyer
10919.0,Shashank Singh,Punjab Kings ,sssingh
8989.0,Marcus Stoinis,Punjab Kings ,Stoinis
7662.0,Glenn Maxwell,Punjab Kings ,Maxwell
14922.0,Suryansh Shedge,Punjab Kings ,Shedge
13214.0,Azmatullah Omarzai,Punjab Kings ,Omarzai
14565.0,Marco Jansen,Punjab Kings ,Jansen
13217.0,Arshdeep Singh,Punjab Kings ,asingh
7910.0,Yuzvendra Chahal,Punjab Kings ,Chahal
10926.0,Wanindu Hasaranga,Rajasthan Royals ,Hasaranga
6692.0,Moeen Ali,Kolkata Knight Riders ,Ali
15861.0,Vaibhav Arora,Kolkata Knight Riders ,Arora
14628.0,Abdul Samad,Lucknow Super Giants ,Samad
9781.0,Avesh Khan,Lucknow Super Giants ,a2khan
13748.0,Sherfane Rutherford,Gujarat Titans ,Rutherford
702.0,Ishant Sharma,Gujarat Titans ,isharma
7915.0,Suryakumar Yadav,Mumbai Indians ,sky
9647.0,Hardik Pandya (c),Mumbai Indians ,hpandya
12071.0,Mujeeb Ur Rahman,Mumbai Indians ,Rahman
9012.0,Rahul Tripathi,Chennai Super Kings ,Tripathi
16458.0,Matheesha Pathirana,Chennai Super Kings ,Pathirana
13088.0,Devdutt Padikkal,Royal Challengers Bengaluru ,Padikkal
1726.0,Bhuvneshwar Kumar,Royal Challengers Bengaluru ,bkumar
24326.0,Abishek Porel,Delhi Capitals ,Porel
8733.0,KL Rahul (wk),Delhi Capitals ,Rahul
10946.0,Zeeshan Ansari,Sunrisers Hyderabad ,Ansari
8204.0,Vijay Shankar,Chennai Super Kings ,Shankar
8512.0,Jamie Overton,Chennai Super Kings ,Overton
11684.0,Ashwani Kumar,Mumbai Indians ,akumar
1447337.0,Vignesh Puthur,Mumbai Indians ,Puthur
1448289.0,Digvesh Singh Rathi,Lucknow Super Giants ,rathi
10692.0,Lockie Ferguson,Punjab Kings ,Ferguson
10940.0,Kamindu Mendis,Sunrisers Hyderabad ,k2mendis
14726.0,Akash Deep,Lucknow Super Giants ,Deep
22601.0,Raj Bawa,Mumbai Indians ,Bawa
13915.0,Nehal Wadhera,Punjab Kings ,Wadhera
8271.0,Sanju Samson (c & wk),Rajasthan Royals ,Samson
12305.0,Riyan Parag,Rajasthan Royals ,Parag
14691.0,Dhruv Jurel,Rajasthan Royals ,Jurel
15749.0,Yudhvir Singh Charak,Rajasthan Royals ,yscharak
9838.0,Devon Conway,Chennai Super Kings ,Conway
13184.0,Mukesh Choudhary,Chennai Super Kings ,Choudhary
6327.0,Jaydev Unadkat,Sunrisers Hyderabad ,Unadkat
10945.0,Washington Sundar,Gujarat Titans ,Sundar
9311.0,Jasprit Bumrah,Mumbai Indians ,Bumrah
265.0,MS Dhoni (c & wk),Chennai Super Kings ,Dhoni
14598.0,Anshul Kamboj,Chennai Super Kings ,Kamboj
10223.0,Himmat Singh,Lucknow Super Giants ,hsingh
46926.0,Eshan Malinga,Sunrisers Hyderabad ,Malinga
22571.0,Shaik Rasheed,Chennai Super Kings ,Rasheed
14254.0,Prabhsimran Singh,Punjab Kings ,psingh
10637.0,Josh Inglis (wk),Punjab Kings ,Inglis
11689.0,Xavier Bartlett,Punjab Kings ,Bartlett
11427.0,Anrich Nortje,Kolkata Knight Riders ,Nortje
8257.0,Karun Nair,Delhi Capitals ,Nair
1844.0,Karn Sharma,Mumbai Indians ,ksharma
14452.0,Harpreet Brar,Punjab Kings ,Brar
13646.0,Romario Shepherd,Royal Challengers Bengaluru ,Shepherd
,Ryan Rickelton (wk),Mumbai Indians ,Rickelton
,Will Jacks,Mumbai Indians ,Jacks
,Suryakumar Yadav,Mumbai Indians ,sky
,Tilak Varma,Mumbai Indians ,Varma
,Hardik Pandya (c),Mumbai Indians ,hpandya
,Naman Dhir,Mumbai Indians ,Dhir
,Mitchell Santner,Mumbai Indians ,Santner
,Deepak Chahar,Mumbai Indians ,Chahar
,Trent Boult,Mumbai Indians ,Boult
,Jasprit Bumrah,Mumbai Indians ,Bumrah
,Ashwani Kumar,Mumbai Indians ,akumar
,Shaik Rasheed,Chennai Super Kings ,Rasheed
,Rachin Ravindra,Chennai Super Kings ,Ravindra
,Ayush Mhatre,Chennai Super Kings ,Mhatre
,Ravindra Jadeja,Chennai Super Kings ,Jadeja
,Shivam Dube,Chennai Super Kings ,Dube
,Vijay Shankar,Chennai Super Kings ,Shankar
,Jamie Overton,Chennai Super Kings ,Overton
,MS Dhoni (c & wk),Chennai Super Kings ,Dhoni
,Noor Ahmad,Chennai Super Kings ,Ahmad
,Khaleel Ahmed,Chennai Super Kings ,kahmed
,Matheesha Pathirana,Chennai Super Kings ,Pathirana
13213.0,Rahmanullah Gurbaz (wk),Kolkata Knight Riders ,Gurbaz
8393.0,Dushmantha Chameera,Delhi Capitals ,Chameera
1431163.0,Ayush Mhatre,Chennai Super Kings ,Mhatre
20538.0,Dewald Brevis,Chennai Super Kings ,Brevis
11445.0,Rovman Powell,Kolkata Knight Riders ,Powell
13494.0,Chetan Sakariya,Kolkata Knight Riders ,Sakariya
9576.0,Corbin Bosch,Mumbai Indians ,Bosch
22401.0,Mayank Yadav,Lucknow Super Giants ,Yadav
19636.0,Jacob Bethell,Royal Challengers Bengaluru ,Bethell
51791.0,Vaibhav Suryavanshi,Rajasthan Royals ,Suryavanshi
11077.0,Karim Janat,Gujarat Titans ,Janat
8733.0,KL Rahul,Delhi Capitals ,Rahul
12344.0,Anukul Roy,Kolkata Knight Riders ,Roy
14190.0,Kumar Kartikeya,Rajasthan Royals ,Kartikeya
15727.0,Akash Madhwal,Rajasthan Royals ,Madhwal
13320.0,Gerald Coetzee,Gujarat Titans ,Coetzee
9603.0,Lungi Ngidi,Royal Challengers Bengaluru ,Ngidi
32854.0,Kunal Singh Rathore,Rajasthan Royals ,Rathore
14696.0,Akash Maharaj Singh,Lucknow Super Giants ,Singh
