seriesName,mid,matchTitle,matchFormat,matchStatus,teamOne,teamTwo,matchDate,matchVenue,name_bat,dismissal,runs_bat,balls,fours,sixes,strikeRate,batlineup,inn,cname_bat,lname,name_bowl,overs,maidens,runs_bowl,wickets,noBalls,wides,eco,bwlineup,cname_bowl,lineup,id,name,team
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Rajat Patidar (c),c Rinku Singh b Vaibhav Arora,34,16,5,1,212.5,4,inn2,Rajat Patidar,Patidar,,,,,,,,,,,4.0,10636.0,Rajat Patidar (c),Royal Challengers Bengaluru 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Liam Livingstone,not out,15,5,2,1,300.0,5,inn2,Liam Livingstone,Livingstone,Livingstone,2.0,0.0,14.0,0.0,0.0,0.0,7.0,6.0,Livingstone,5.0,10045.0,Liam Livingstone,Royal Challengers Bengaluru 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Suyash Sharma,Did not bat,0,0,0,0,0.0,12,inn2,Suyash Sharma,ssharma,Suyash Sharma,4.0,0.0,47.0,1.0,0.0,1.0,11.8,7.0,Suyash Sharma,7.0,8356.0,Sandeep Sharma,Rajasthan Royals 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Suyash Sharma,Did not bat,0,0,0,0,0.0,12,inn2,Suyash Sharma,ssharma,Suyash Sharma,4.0,0.0,47.0,1.0,0.0,1.0,11.8,7.0,Suyash Sharma,7.0,36487.0,Suyash Sharma,Royal Challengers Bengaluru 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Krunal Pandya,Did not bat,0,0,0,0,0.0,12,inn2,Krunal Pandya,kpandya,Krunal Pandya,4.0,0.0,29.0,3.0,0.0,1.0,7.2,8.0,Krunal Pandya,8.0,11311.0,Krunal Pandya,Royal Challengers Bengaluru 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Rasikh Dar Salam,Did not bat,0,0,0,0,0.0,12,inn2,Rasikh Dar Salam,Salam,Rasikh Salam,3.0,0.0,35.0,1.0,0.0,2.0,11.7,9.0,Rasikh Salam,9.0,14274.0,Rasikh Dar Salam,Royal Challengers Bengaluru 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Yash Dayal,Did not bat,0,0,0,0,0.0,12,inn2,Yash Dayal,Dayal,Yash Dayal,3.0,0.0,25.0,1.0,0.0,0.0,8.3,10.0,Yash Dayal,10.0,14172.0,Yash Dayal,Royal Challengers Bengaluru 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Josh Hazlewood,Did not bat,0,0,0,0,0.0,12,inn2,Josh Hazlewood,Hazlewood,Hazlewood,4.0,0.0,22.0,2.0,0.0,0.0,5.5,11.0,Hazlewood,11.0,6258.0,Josh Hazlewood,Royal Challengers Bengaluru 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Tim David,Did not bat,0,0,0,0,0.0,12,inn2,Tim David,David,,,,,,,,,,,12.0,13169.0,Tim David,Royal Challengers Bengaluru 
INDIAN PREMIER LEAGUE 2025,114960,Kolkata Knight Riders vs Royal Challengers Bengaluru, 1st Match,Royal Challenger Bengaluru won by 7 wkts,KKR,RCB,23-Mar,,Jitesh Sharma (wk),Did not bat,0,0,0,0,0.0,12,inn2,Jitesh Sharma,jsharma,,,,,,,,,,,12.0,10214.0,Jitesh Sharma (wk),Royal Challengers Bengaluru 
